Branch,Year,median,count,branch_median_prev,branch_pop_prev
RI Robotics and AI,2024,97372.0,406,91073.0,301
RM CS-RO Engg-AI and ML,2022,107066.5,32,,0
RO Auto. And Robot.,2020,50610.0,86,,0
RO Auto. And Robot.,2021,75286.0,44,50610.0,86
RO Auto. And Robot.,2022,83713.0,79,62948.0,130
RO Auto. And Robot.,2023,98857.0,62,75286.0,209
RO Auto. And Robot.,2024,104075.0,61,79499.5,271
SE Aero Space Engg.,2020,43645.0,240,,0
SE Aero Space Engg.,2021,47813.0,280,43645.0,240
SE Aero Space Engg.,2022,64339.0,220,45729.0,520
SE Aero Space Engg.,2023,71710.0,174,47813.0,740
SE Aero Space Engg.,2024,44582.0,207,56076.0,914
SS CS and System Engg,2020,58845.0,35,,0
SS CS and System Engg,2021,39551.0,39,58845.0,35
SS CS and System Engg,2022,35768.0,33,49198.0,74
TC Telecommn.,2020,48692.5,212,,0
TC Telecommn.,2021,64504.0,28,48692.5,212
TC Telecommn.,2023,66556.0,37,56598.25,240
TC Telecommn.,2024,72881.0,23,64504.0,277
TI Industrial IoT,2022,124143.0,12,,0
TX Textiles,2020,78539.5,46,,0
TX Textiles,2021,111420.5,60,78539.5,46
TX Textiles,2022,149928.0,33,94980.0,106
TX Textiles,2023,181648.0,20,111420.5,139
TX Textiles,2024,199181.5,52,130674.25,159
YA B.TEHIN COM.SCE.ENG(ROBO),2024,111507.0,28,,0
YB B.TECH IN CS.ENG(DAT ANA),2024,117258.0,32,,0
YC B.TECH IN EMD. SYS. VLSI,2024,136382.5,22,,0
YD B.TECH IN CS AND ARTI INT,2024,92134.0,33,,0
YE B.TECH IN CIV.CONST.SUST.,2024,200849.5,10,,0
YF B.TECH IN ELECT ENGG. CS.,2024,125509.5,28,,0
YG B.TECH IN EC.ENG.VSLI EMD,2024,147472.0,27,,0
YH ENGINEERING DESIGN,2024,229006.5,20,,0
YI B.TECH IN MECHANICAL,2024,137766.0,21,,0
ZA B TECH IN AERONAUT. ENGG.,2024,166923.0,35,,0
ZC CSC,2023,133761.0,27,,0
ZC CSC,2024,159178.0,117,133761.0,27
ZH B TECH IN COMP.SC.ART.INT,2024,43010.0,35,,0
ZL CIVIL ENG. WITH COMP.APPL,2024,217321.0,11,,0
ZM B.TECH IN COMP.SCI. DESI.,2024,117671.0,42,,0
ZN B.TECH IN PHARM. ENGG.,2024,205799.0,14,,0
ZO B.TECH IN CS.AND BUSI.SYS,2024,148922.5,64,,0
ZQ B.TECH IN IN.TCH.DAT.ANAL,2024,107591.5,26,,0
ZR COMP.SCE.AND ENG(ART.INT),2024,98775.0,55,,0
ZT B.TECH. IN MECH.SMAR.MANU,2024,191442.0,13,,0
ZU CYBER SECURITY,2024,139755.0,30,,0
ZV B.TECH.IN INF.TEC.AUG.REA,2024,96979.5,26,,0
ZW COMP. SCE. AND ENG (AIML),2024,149095.0,56,,0
mn Mining Engineering,2023,150742.0,21,,0
