College_Code,Year,median,count,college_median_prev,college_pop_prev,college_trend_prev3_slope
E062,2020,55949.5,292,,0,
E062,2021,63306.0,326,55949.5,292,
E062,2022,54927.0,439,59627.75,618,7356.500000003354
E062,2023,61576.0,471,55949.5,1057,-511.24999999876377
E062,2024,93781.5,110,58762.75,1528,-865.0000000003632
E063,2020,128765.0,65,,0,
E063,2021,98922.0,133,128765.0,65,
E063,2022,111700.0,126,113843.5,198,-29843.000000013537
E063,2023,105303.5,124,111700.0,324,-8532.500000002612
E063,2024,158087.0,155,108501.75,448,3190.7500000002447
E064,2020,66211.0,152,,0,
E064,2021,59852.0,197,66211.0,152,
E064,2022,59720.5,250,63031.5,349,-6359.000000002875
E064,2023,65703.5,234,59852.0,599,-3245.250000000219
E064,2024,109980.5,268,62777.75,833,2925.749999999491
E065,2020,50161.0,237,,0,
E065,2021,51639.0,290,50161.0,237,
E065,2022,51655.0,293,50900.0,527,1478.000000000677
E065,2023,64605.0,349,51639.0,820,747.0000000000548
E065,2024,101635.0,639,51647.0,1169,6482.99999999889
E066,2024,118392.5,48,,0,
E070,2020,123401.0,14,,0,
E070,2021,102879.0,43,123401.0,14,
E070,2022,103613.5,108,113140.0,57,-20522.000000009288
E070,2023,93459.0,124,103613.5,165,-9893.750000000871
E070,2024,131136.0,121,103246.25,289,-4709.999999999148
E071,2020,33017.0,299,,0,
E071,2021,30225.0,327,33017.0,299,
E071,2022,33654.0,314,31621.0,626,-2792.00000000126
E071,2023,40711.0,383,33017.0,940,318.49999999949847
E071,2024,56340.0,416,33335.5,1323,5242.999999999316
E075,2020,74186.5,198,,0,
E075,2021,68466.0,259,74186.5,198,
E075,2022,76484.0,457,71326.25,457,-5720.500000002605
E075,2023,72107.0,424,74186.5,914,1148.7499999988615
E075,2024,96545.0,459,73146.75,1338,1820.5000000001721
E076,2020,107348.5,38,,0,
E076,2021,99960.0,89,107348.5,38,
E076,2022,111407.0,53,103654.25,127,-7388.50000000335
E076,2023,114558.0,169,107348.5,180,2029.2499999984034
E076,2024,161550.0,170,109377.75,349,7298.999999999439
E077,2020,72061.0,136,,0,
E077,2021,66961.0,183,72061.0,136,
E077,2022,58457.0,164,69511.0,319,-5100.000000002327
E077,2023,73527.5,200,66961.0,483,-6801.999999999204
E077,2024,101064.0,197,69511.0,683,3283.2499999989295
E078,2020,58399.0,179,,0,
E078,2021,54155.0,265,58399.0,179,
E078,2022,60551.0,261,56277.0,444,-4244.0000000019245
E078,2023,71374.0,308,58399.0,705,1075.9999999990953
