College_Code,Branch,Category,College_Tier,Round,Year,Exam_Type,Cutoff_Rank
E005,IE Info.Science,GMR,1,3,2020,KCET,1094.0
E021,CS Computers,GM,1,1,2020,KCET,1105.0
E005,CS Computers,2AR,1,3,2020,KCET,1106.0
E005,CS Computers,2AR,1,1,2020,KCET,1106.0
E005,CS Computers,2AR,1,2,2020,KCET,1106.0
E005,CY CS- Cyber Security,1G,1,1,2022,KCET,1109.0
E009,CS Computers,GMH,1,1,2021,KCET,1111.0
E006,CS Computers,3AG,1,3,2020,KCET,1111.0
E006,CS Computers,3AG,1,2,2020,KCET,1111.0
E005,EC Electronics,GMH,1,2,2021,KCET,1120.0
E006,CS Computers,GM,1,2,2022,KCET,1125.0
E005,AI Artificial Intelligence,3BG,1,2,2022,KCET,1128.0
E005,EC Electronics,3AG,1,1,2020,KCET,1129.0
E005,IE Info.Science,2AG,1,2,2022,KCET,1134.0
E006,CS Computers,2BG,1,1,2022,KCET,1135.0
E006,CY CS- Cyber Security,GM,1,2,2021,KCET,1140.0
E005,EC Electronics,GM,1,2,2022,KCET,1145.0
E006,IE Info.Science,GM,1,2,2021,KCET,1153.0
E005,CS Computers,2BG,1,2,2020,KCET,1154.0
E048,CS Computers,3BG,1,1,2021,KCET,1159.0
E005,CS Computers,GMK,1,3,2022,KCET,1162.0
E005,CS Computers,2AK,1,2,2022,KCET,1162.0
E005,CS Computers,2AK,1,1,2022,KCET,1162.0
E006,CS Computers,2BG,1,2,2021,KCET,1163.0
E006,CS Computers,2BG,1,3,2021,KCET,1163.0
E005,IE Info.Science,GMR,1,2,2022,KCET,1165.0
E005,IE Info.Science,GMR,1,3,2022,KCET,1165.0
E009,CS Computers,3BG,1,1,2021,KCET,1169.0
E005,IE Info.Science,2AR,1,3,2020,KCET,1169.0
E005,IE Info.Science,2AR,1,2,2020,KCET,1169.0
E005,IE Info.Science,2AR,1,1,2020,KCET,1169.0
E005,CS Computers,2BG,1,2,2022,KCET,1174.0
E048,CS Computers,GMR,1,1,2021,KCET,1183.0
E048,IE Info.Science,GM,1,2,2020,KCET,1183.0
E006,IE Info.Science,GM,1,2,2020,KCET,1189.0
E005,CY CS- Cyber Security,1G,1,2,2022,KCET,1191.0
