college_code,college_name,branch_code,branch_name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR
E032,R.T.E Socity`s Rural Engineering College  Hulkoti,CE,Civil Engineering,,,,,,,,19531.0,,,,
E032,R.T.E Socity`s Rural Engineering College  Hulkoti,CS,Computer Science,95179.0,,,90294.0,,91290.0,79999.0,,,9279.0,,
E032,R.T.E Socity`s Rural Engineering College  Hulkoti,EC,Electronics,132760.0,,,,,10551.0,,,,,,
E032,R.T.E Socity`s Rural Engineering College  Hulkoti,ME,Mechanical,,,,181283.0,,,271460.0,,,,,
E032,R.T.E Socity`s Rural Engineering College  Hulkoti,TX,Textiles,249967.0,,,207453.0,,,,,,,,
E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur,CE,Civil Engineering,236395.0,,,209849.0,,,,22444.0,,,,
E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur,CS,Computer Science,83113.0,,103154.0,86740.0,,,70805.0,,,9476.0,,
E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur,EC,Electronics,118477.0,,,112466.0,,,112631.0,,,10491.0,,
E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur,EE,Electrical,,,,135104.0,,,,,,,,
E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur,IE,Information Science,106363.0,,,,,,10889.0,,,,,
E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur,ME,Mechanical,,,,245020.0,,,254731.0,,,,,
E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,AI,Artificial Intelligence,26784.0,,48563.0,20037.0,,,22978.0,,,1950.0,,
E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,CE,Civil Engineering,112209.0,,,,,10793.0,,,,,,
E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,CH,Chemical,,,,87161.0,,,,,,,,
E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,CS,Computer Science,16814.0,,,17131.0,,21256.0,15946.0,,,1260.0,,
E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist",CS,Computer Science,103127.0,,,121353.0,,121782.0,80235.0,155221.0,,9735.0,,
E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist",CE,Civil Engineering,267494.0,,,259670.0,,,,,,,,
E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist",CS,Computer Science,94024.0,,,110921.0,,120369.0,90433.0,,,11334.0,,
E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist",EC,Electronics,148411.0,,,127446.0,,,,12033.0,,,,
E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist",EE,Electrical,,,,141614.0,,,,,,,,
E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist",ME,Mechanical,,,,247202.0,,,,,,,,
E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist",AI,Artificial Intelligence,,,,,,,13306.0,,,,,
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.),CE,Civil Engineering,149163.0,,,,,,,,,,,
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.),CH,Chemical,124852.0,,,83116.0,,,,,,,,
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.),CS,Computer Science,33447.0,,,31863.0,35017.0,35513.0,34683.0,,,2872.0,,
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.),EC,Electronics,33838.0,,,29627.0,,31225.0,37186.0,,,2993.0,,
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.),EE,Electrical,67009.0,,,47376.0,48651.0,55338.0,,,,4589.0,,
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.),ME,Mechanical,129807.0,,,104523.0,,,126777.0,,,,,
E037,K.L.S. Gogte Institute of Technology  Belgaum,CS,Computer Science,25298.0,,,20403.0,,24439.0,25816.0,,,2183.0,,
E037,K.L.S. Gogte Institute of Technology  Belgaum,CE,Civil Engineering,,,,12212.0,,,,,,,,
E037,K.L.S. Gogte Institute of Technology  Belgaum,CS,Computer Science,17063.0,,,15030.0,15482.0,20116.0,19143.0,,,1521.0,,
E037,K.L.S. Gogte Institute of Technology  Belgaum,EC,Electronics,32634.0,,,23106.0,23759.0,24279.0,34835.0,,,2361.0,,
E037,K.L.S. Gogte Institute of Technology  Belgaum,EE,Electrical,43259.0,,134718.0,36129.0,,,47743.0,,78826.0,4486.0,,
E037,K.L.S. Gogte Institute of Technology  Belgaum,IE,Information Science,26138.0,,,22764.0,,28427.0,29251.0,,,2117.0,,
E037,K.L.S. Gogte Institute of Technology  Belgaum,ME,Mechanical,99334.0,,,,,11545.0,,,,,,
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  v,CS,Computer Science,48857.0,,,52551.0,,60396.0,43349.0,69241.0,,7199.0,,
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  v,CE,Civil Engineering,123253.0,,,130193.0,,,,11368.0,,,,
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  v,CS,Computer Science,44619.0,,,44216.0,45762.0,48317.0,35476.0,,,4848.0,,
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  v,EC,Electronics,62247.0,,,62995.0,63767.0,63819.0,63362.0,,,6111.0,,
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  v,EE,Electrical,114283.0,,,80247.0,,84728.0,82466.0,,,9340.0,,
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  v,IE,Information Science,60729.0,89281.0,163008.0,55037.0,,,59962.0,,108373.0,7095.0,,
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  v,ME,Mechanical,157549.0,,,,133449.0,,,13145.0,,,,
E040,"Hira Sugar Institute of Technology  Belagavi District,",CE,Civil Engineering,,,,,,,,,,,,
E040,"Hira Sugar Institute of Technology  Belagavi District,",CS,Computer Science,85249.0,,90269.0,82075.0,,86315.0,84284.0,,,8833.0,,
E040,"Hira Sugar Institute of Technology  Belagavi District,",EC,Electronics,99425.0,,,96333.0,,,10492.0,,,,,
E040,"Hira Sugar Institute of Technology  Belagavi District,",EE,Electrical,117746.0,,,127714.0,,,,,,,,
E040,"Hira Sugar Institute of Technology  Belagavi District,",ME,Mechanical,,267579.0,,271171.0,,,,22563.0,,,,
E041,P D A College of Engineering  Gulbarga,CE,Civil Engineering,123354.0,,,147362.0,,,,15992.0,,,,
E041,P D A College of Engineering  Gulbarga,EC,Electronics,,,,54616.0,,,,,,5924.0,,
E041,P D A College of Engineering  Gulbarga,EE,Electrical,,,,83903.0,,,86603.0,,,,,
E041,P D A College of Engineering  Gulbarga,ME,Mechanical,185571.0,,,197560.0,,,,16612.0,,,,
E042,Khaja Banda Nawaz University  Kalburgi,CE,Civil Engineering,,,,,,,,,,,,
E042,Khaja Banda Nawaz University  Kalburgi,CS,Computer Science,125408.0,,,120779.0,,,,,,,,
