College_Code,College_Name,Branch_Code,Branch,Quota,Cutoff_Rank,Year,Round,Exam_Type
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,56597,2024,0,KCET
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,51451,2024,0,KCET
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,129123,2024,0,KCET
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,213470,2024,0,KCET
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,186055,2024,0,KCET
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,141697,2024,0,KCET
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,166531,2024,0,KCET
UNKNOWN,UNKNOWN,BW,B Tech in CS,1G 1K,210920,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,1G 1K,67927,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,1R 2AG,64738,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,2AR,72490,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,2AR,54245,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,3AK,49592,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,3BR GM,54828,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,59419,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,49077,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,67208,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,58876,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,135917,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,229499,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,193900,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,134782,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,196515,2024,0,KCET
UNKNOWN,UNKNOWN,BX,B Tech in CY,SCG,163961,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,1G 1K,79066,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,1R 2AG,65445,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,2AR,88826,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,2AR,62780,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,3AK,60269,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,3BR GM,58706,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,SCG,54744,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,SCG,73751,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,SCG,63163,2024,0,KCET
UNKNOWN,UNKNOWN,BY,B Tech in DO,SCG,159537,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,1G 1K,66661,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,1R 2AG,79380,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,1R 2AG,62059,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,1R 2AG,84391,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,1R 2AG,74058,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,1R 2AG,56821,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,3AK,49702,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,3BR GM,50768,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,56383,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,46480,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,72284,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,53726,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,134048,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,229353,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,201569,2024,0,KCET
UNKNOWN,UNKNOWN,BZ,B Tech in DS,SCG,171230,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,1G 1K,76434,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,1R 2AG,74815,2024,0,KCET
