College_Branch_target_enc,hist_mean,hist_count
20170.08841722301,21165.608695652172,69
20174.60168484908,19729.045454545456,22
20182.1691516524,24212.613636363636,44
20188.326649163773,6813.0,1
20210.33657669772,20597.32608695652,46
20231.97264779716,18656.35714285714,28
20251.4939842474,4326.5,2
20270.10442694155,16318.666666666666,3
20272.88364553853,20334.96153846154,52
20274.705691782,16629.333333333332,3
20286.737939238086,23233.608108108107,74
20303.30603532646,17642.279069767443,43
20336.226624800453,19009.76,50
20383.98795229517,20805.024390243903,41
20384.48496061849,1579.0,1
20447.242480309244,11137.0,2
20447.38199907338,22775.37254901961,51
20448.705691782,8808.5,2
20459.58507240231,17862.283333333333,60
20465.414810577706,20967.743243243243,74
20482.13426321056,13558.6,5
20490.988022339967,20355.45,40
20499.905936679555,19288.48780487805,41
20524.992480309244,7263.5,2
20525.120171055813,17978.041666666668,24
20527.726852045274,20934.315789473683,38
20539.8445980881,19257.804347826088,46
20543.475048985063,19628.073170731706,82
20565.882204719328,6718.0,1
20605.332924098464,20646.617647058825,34
20613.08806542804,34548.643835616436,73
20613.492480309244,13451.5,2
20629.99948140064,26740.08823529412,34
20642.7571798114,19226.675,80
20692.13426321056,11294.0,3
20718.9939842474,12098.5,2
20724.69261386429,18891.379746835442,79
20756.0956607527,14615.5,18
20810.524248030924,29075.058823529413,17
20834.26599824971,15563.133333333333,15
20841.597677164948,17076.0,28
20842.13652548671,22345.574468085106,47
20862.0939842474,21006.5,2
20895.89340991146,16619.0,20
20908.43374015462,41618.2,5
20918.40556272537,23043.25,24
20921.55293228316,19120.516129032258,31
20946.26127815392,18397.775,40
20952.914921865187,22641.0,27
20955.79135334622,21927.466666666667,45
20957.882204719328,22451.5,2
20960.617480309244,32544.5,2
20981.58347728245,18835.941176470587,51
20984.610587522504,28842.594594594593,74
20989.25888791651,27318.941176470587,34
21065.41997749628,12798.0,3
21094.576223686094,21358.80487804878,41
21119.09350292713,14845.782608695652,23
21140.286666002,24419.95238095238,84
21142.41997749628,18471.2,5
21175.742480309244,21372.666666666668,3
21182.24043680638,24931.130434782608,46
21222.437760274883,25299.0,1
21239.784018835657,23598.08510638298,47
21243.222546767352,31901.98214285714,56
21245.99331583044,22429.0,1
21258.004920641222,23029.116666666665,60
21322.84503936971,20955.176470588234,34
21329.98997374566,15132.0,4
21338.377339587627,18969.21212121212,33
21442.7939842474,18103.0,2
21464.345145900545,18040.4,45
21464.5879684948,7052.333333333333,3
21490.62129644581,19893.903846153848,52
21494.56283463913,21946.333333333332,3
21569.992480309244,31801.0,1
21584.23496061849,14378.0,1
21588.48496061849,15235.0,1
21590.76709210741,18856.877551020407,49
21594.04806366921,19485.392156862745,51
21598.992480309244,6343.666666666667,3
21607.814268777944,18404.837209302324,43
21681.37824638436,22521.31325301205,83
