College_Code,Year,Cutoff_Rank
E169,2024,115836.0
E171,2020,107707.5
E171,2021,80280.0
E171,2022,82037.5
E171,2023,84522.0
E171,2024,114210.0
E172,2020,126077.0
E172,2021,89376.0
E172,2022,79646.0
E172,2023,81912.5
E172,2024,134511.0
E173,2020,53299.0
E173,2021,82162.0
E173,2022,64343.0
E173,2023,68690.0
E173,2024,106696.5
E174,2020,150773.5
E174,2021,128248.0
E174,2022,93134.0
E174,2023,110930.0
E174,2024,156615.5
E175,2020,107230.0
E175,2021,92486.0
E175,2022,80108.0
E175,2023,98293.5
E175,2024,131872.0
E176,2020,124993.0
E176,2021,111899.0
E176,2022,100501.0
E176,2023,129042.0
E176,2024,163844.0
E177,2020,107126.0
E177,2021,86065.0
E177,2022,87040.0
E177,2023,95337.5
E177,2024,142476.0
E178,2020,40695.0
E178,2021,43158.0
E178,2022,13212.5
E178,2023,13804.5
E178,2024,18074.5
E180,2020,136635.5
E180,2021,122120.5
E180,2022,113315.0
E180,2023,103698.0
E180,2024,152434.0
E181,2020,139458.5
E181,2023,114600.0
E181,2024,180836.5
E184,2020,148810.0
E184,2021,126463.0
E184,2022,117116.0
E184,2023,125503.0
E184,2024,164892.5
E185,2020,105472.0
E185,2021,88533.5
E185,2022,81822.0
E185,2023,80562.0
E185,2024,129202.0
E186,2020,88914.0
E186,2021,79519.0
E186,2022,93653.0
E186,2023,90336.5
E186,2024,107959.0
E188,2020,120971.0
E188,2021,101143.0
E188,2022,92821.0
E188,2023,94712.0
E188,2024,141429.0
E189,2020,79096.0
E189,2021,95061.0
E189,2022,80257.0
E189,2023,83893.0
E189,2024,123684.0
E191,2020,142889.0
E191,2021,121144.0
E191,2022,102021.5
E191,2023,106651.0
E191,2024,146954.0
E193,2020,143101.0
E193,2021,125999.5
E193,2022,99273.0
E193,2023,130346.0
E193,2024,172942.0
E194,2020,119084.5
E194,2021,94260.0
E194,2022,88705.0
E194,2023,94129.5
E194,2024,151678.0
E196,2020,75671.5
E196,2021,58996.0
E196,2022,58066.0
E196,2023,67821.0
E196,2024,106908.0
E197,2020,145565.5
E197,2021,157851.0
E197,2022,119994.0
E197,2023,138625.0
E197,2024,170662.0
E198,2020,124975.0
E198,2021,104127.0
E198,2022,96160.5
E198,2023,109210.0
E198,2024,121894.0
E199,2020,115270.0
E199,2021,95171.5
E199,2022,90519.5
E199,2023,97898.5
E199,2024,128317.0
E201,2020,87891.0
E201,2021,102834.0
E201,2022,90535.0
E201,2023,99436.0
E201,2024,116659.5
E202,2020,122883.5
E202,2021,165376.0
E202,2022,111216.5
E202,2023,121843.0
E202,2024,169997.0
E203,2020,78588.5
E203,2021,87042.0
E203,2022,89032.5
E203,2023,86004.0
E203,2024,119420.0
E204,2020,123894.0
E204,2021,89928.0
E204,2022,88791.0
E204,2023,94153.5
E204,2024,134088.5
E205,2020,87714.0
E205,2021,74790.0
E205,2022,70227.0
E205,2023,80143.0
E205,2024,116225.0
E206,2020,57301.0
E206,2021,75613.0
E206,2022,73860.0
E206,2023,82385.5
E206,2024,126765.0
E207,2020,121664.0
E207,2021,122360.5
E207,2022,116073.5
E207,2023,110132.0
E207,2024,162949.5
E209,2020,66155.0
E209,2021,64325.5
E209,2022,85792.0
E209,2023,64690.0
E209,2024,105668.0
E210,2020,131215.0
E210,2021,114302.0
E210,2022,96128.5
E210,2023,115306.0
E210,2024,164841.0
E211,2020,74252.0
E211,2021,80648.0
E211,2022,68643.5
E211,2023,94050.0
E211,2024,144439.0
E212,2020,35007.5
E212,2021,36320.0
E212,2022,37485.0
E212,2023,30804.0
E212,2024,42344.5
E213,2020,135528.0
E213,2021,105979.0
E213,2022,110948.0
E213,2023,128060.5
E213,2024,166528.5
E216,2020,130305.0
E216,2021,120390.5
E216,2022,114326.5
E216,2023,110631.0
E216,2024,141066.0
E220,2020,88904.0
E220,2021,72617.0
E220,2022,77349.5
E220,2023,74625.5
E220,2024,92510.0
E221,2020,145205.5
E221,2021,98754.5
E221,2022,92235.0
E221,2023,104556.0
E221,2024,129870.0
E222,2020,89860.0
E222,2021,89510.0
E222,2022,75512.0
E222,2023,74112.0
E222,2024,96824.0
E227,2020,149575.0
E227,2021,126594.0
E227,2022,97222.0
E227,2023,97232.0
E227,2024,159552.0
E232,2020,50259.0
E232,2021,47350.0
E232,2022,39050.0
E232,2023,49895.0
E232,2024,51964.0
E235,2020,39955.0
E235,2021,40542.0
E235,2022,38532.0
E235,2023,52880.0
E235,2024,46650.0
E237,2020,97542.0
E237,2021,69933.0
E237,2022,72208.0
E237,2023,75248.0
E237,2024,88387.5
E238,2020,127458.0
E238,2021,92573.5
E238,2022,88107.0
E238,2023,102245.0
E238,2024,161689.5
E239,2020,82226.5
E239,2021,91440.0
E239,2022,56949.0
E239,2023,58202.0
E239,2024,119333.5
E240,2020,46122.0
E240,2021,41048.0
E240,2022,51076.5
E240,2023,43800.0
E240,2024,52495.0
E241,2020,34002.0
E241,2021,28467.0
E241,2022,33349.0
E241,2023,38464.0
E241,2024,45925.0
E252,2020,90544.0
E252,2021,84575.0
E252,2022,75447.0
E252,2023,91105.0
E252,2024,132276.0
E254,2020,88833.0
E254,2021,79717.0
E254,2022,59480.0
E254,2023,72866.0
E254,2024,113193.0
E255,2020,124951.0
E255,2021,83875.0
E255,2022,81970.0
E255,2023,78369.0
E255,2024,111439.0
E256,2024,166122.0
E257,2020,83088.0
E257,2021,74537.0
E257,2022,62861.5
E257,2023,57690.0
E257,2024,87686.0
E258,2020,74746.0
E258,2021,68471.0
E258,2022,64158.5
E258,2023,69726.0
E258,2024,88167.0
E263,2022,167340.0
E263,2024,202875.5
E264,2020,130334.0
E264,2023,102219.0
