College_Code,Branch,Category,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal
E016,CS-Computer Science & Engineering,KKR,1,2,2,21254,25837,23546.0,4583,Deteriorated
E016,CV-Civil Engineering,GM,1,4,3,64944,94080,81177.0,29136,Improved
E016,EC-Electronics & Comm- unication Engineering,GM,4,4,1,76965,76965,76965.0,0,SingleRound
E016,EC-Electronics & Comm-unication Engineering,GM,1,1,1,21753,21753,21753.0,0,SingleRound
E016,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,46133,46133,46133.0,0,SingleRound
E016,EC-Electronics & Communication Engineering,GM,3,3,1,36877,36877,36877.0,0,SingleRound
E016,EC-Electronics & Communication Engineering,KKR,2,2,1,60684,60684,60684.0,0,SingleRound
E016,EE-Electrical & Electronics Engineering,GM,1,4,3,28968,99769,65949.0,70801,Deteriorated
E016,EE-Electrical & Electronics Engineering,KKR,1,2,2,73335,87923,80629.0,14588,Deteriorated
E016,ME- Mechanical Engineering,GM,4,4,1,89867,89867,89867.0,0,SingleRound
E016,ME-Mechanical Engineering,GM,1,3,2,54365,101378,77872.0,47013,Deteriorated
E016,ME-Mechanical Engineering,KKR,1,1,1,99109,99109,99109.0,0,SingleRound
E016,VL-Electronics Engineering (VLSI Design & Technology),GM,1,3,2,26396,56257,41326.0,29861,Deteriorated
E016,VL-Electronics Engineering (VLSI Design & Technology),KKR,1,1,1,60993,60993,60993.0,0,SingleRound
E017,AI-Artificial Intelligence & Machine Learning,GM,1,3,2,70485,80806,75646.0,10321,Deteriorated
E017,AI-Artificial Intelligence & Machine Learning,KKR,1,1,1,85669,85669,85669.0,0,SingleRound
E017,CA-Computer Science & Engineering (Artificial Intelligence),GM,1,3,2,39846,80639,60242.0,40793,Deteriorated
E017,CA-Computer Science & Engineering (Artificial Intelligence),KKR,1,1,1,86486,86486,86486.0,0,SingleRound
E017,CD-Computer Science & Engineering (Data Science),GM,1,3,2,67006,97639,82322.0,30633,Deteriorated
E017,CD-Computer Science & Engineering (Data Science),KKR,1,1,1,96799,96799,96799.0,0,SingleRound
E017,CS-Computer Science & Engineering,GM,1,3,2,40539,87561,64050.0,47022,Deteriorated
E017,CS-Computer Science & Engineering,KKR,1,2,2,56092,99594,77843.0,43502,Improved
E017,CV-Civil Engineering,GM,1,1,1,85264,85264,85264.0,0,SingleRound
E017,EC-Electronics & Comm-unication Engineering,GM,1,1,1,101161,101161,101161.0,0,SingleRound
E017,ME-Mechanical Engineering,GM,1,1,1,38537,38537,38537.0,0,SingleRound
E018,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,22221,95553,60176.0,73332,Deteriorated
E018,AI-Artificial Intelligence & Machine Learning,KKR,1,2,2,69480,73896,71688.0,4416,Deteriorated
E018,CS-Computer Science & Engineering,GM,1,4,3,19684,101217,55164.0,81533,Deteriorated
E018,CS-Computer Science & Engineering,KKR,1,1,1,100343,100343,100343.0,0,SingleRound
E018,EC-Electronics & Comm-unication Engineering,GM,1,1,1,26536,26536,26536.0,0,SingleRound
E018,EC-Electronics & Communication Engineering,GM,3,3,1,95588,95588,95588.0,0,SingleRound
E018,EE-Electrical & Electronics Engineering,GM,1,1,1,31890,31890,31890.0,0,SingleRound
E018,IS-Information Science & Engineering,GM,1,3,2,25493,60128,42810.0,34635,Deteriorated
E019,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,4599,15770,9451.0,11171,Deteriorated
E019,AI-Artificial Intelligence & Machine Learning,KKR,1,2,2,12861,23964,18412.0,11103,Deteriorated
E019,CD-Computer Science & Engineering (Data Science),GM,1,4,3,4371,13221,8453.0,8850,Deteriorated
E019,CD-Computer Science & Engineering (Data Science),KKR,1,2,2,13913,26792,20352.0,12879,Deteriorated
E019,CS-Computer Science & Engineering,GM,1,4,3,3787,10896,7073.0,7109,Deteriorated
E019,CS-Computer Science & Engineering,KKR,1,2,2,12848,19966,16407.0,7118,Deteriorated
E019,CV-Civil Engineering,GM,1,3,2,36707,97516,67112.0,60809,Deteriorated
E019,EC-Electronics & Comm- unication Engineering,GM,4,4,1,29050,29050,29050.0,0,SingleRound
E019,EC-Electronics & Comm-unication Engineering,GM,1,1,1,8040,8040,8040.0,0,SingleRound
E019,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,26108,26108,26108.0,0,SingleRound
E019,EC-Electronics & Communication Engineering,GM,3,3,1,14080,14080,14080.0,0,SingleRound
E019,EC-Electronics & Communication Engineering,KKR,2,2,1,44112,44112,44112.0,0,SingleRound
E019,EE-Electrical & Electronics Engineering,GM,1,4,3,12683,93446,43400.0,80763,Deteriorated
E019,EE-Electrical & Electronics Engineering,KKR,1,2,2,57402,67840,62621.0,10438,Deteriorated
E019,EI-Electronics & Instrument- ation Engineering,GM,4,4,1,98313,98313,98313.0,0,SingleRound
E019,EI-Electronics & Instrument-ation Engineering,GM,1,1,1,16031,16031,16031.0,0,SingleRound
E019,EI-Electronics & Instrument-ation Engineering,KKR,1,1,1,72460,72460,72460.0,0,SingleRound
E019,EI-Electronics & Instrumentation Engineering,GM,3,3,1,27533,27533,27533.0,0,SingleRound
E019,ET-Electronics & Tele- communication Engineering,KKR,2,2,1,55888,55888,55888.0,0,SingleRound
E019,ET-Electronics & Telecomm- unication Engineering,GM,4,4,1,98378,98378,98378.0,0,SingleRound
E019,ET-Electronics & Telecommu- nication Engineering,GM,1,1,1,11709,11709,11709.0,0,SingleRound
E019,ET-Electronics & Telecommu- nication Engineering,KKR,1,1,1,55888,55888,55888.0,0,SingleRound
E019,ET-Electronics & Telecommunicati on Engineering,GM,3,3,1,21187,21187,21187.0,0,SingleRound
E019,IC-Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),GM,1,4,3,5350,17469,10484.0,12119,Deteriorated
E019,IC-Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),KKR,1,2,2,20086,32750,26418.0,12664,Deteriorated
E019,IS-Information Science & Engineering,GM,1,4,3,5901,18608,11494.0,12707,Deteriorated
E019,IS-Information Science & Engineering,KKR,1,2,2,21227,30504,25866.0,9277,Deteriorated
E019,ME- Mechanical Engineering,GM,4,4,1,84619,84619,84619.0,0,SingleRound
E019,ME-Mechanical Engineering,GM,1,3,2,25719,59834,42776.0,34115,Deteriorated
E019,ME-Mechanical Engineering,KKR,1,1,1,95550,95550,95550.0,0,SingleRound
E019,RI-Robotics & Artificial Intelligence,GM,1,4,3,6094,23115,13403.0,17021,Deteriorated
E019,RI-Robotics & Artificial Intelligence,KKR,1,2,2,28662,50052,39357.0,21390,Deteriorated
E019,VL-Electronics Engineering (VLSI Design & Technology),GM,1,4,3,12703,64581,32048.0,51878,Deteriorated
E019,VL-Electronics Engineering (VLSI Design & Technology),KKR,1,2,2,50052,89330,69691.0,39278,Deteriorated
E020,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,42543,85968,63757.0,43425,Deteriorated
E020,CE-Computer Engineering,GM,1,4,3,18907,100826,52843.0,81919,Improved
E020,CE-Computer Engineering,KKR,1,1,1,91531,91531,91531.0,0,SingleRound
E020,CS-Computer Science & Engineering,GM,1,3,2,35845,98636,67240.0,62791,Deteriorated
E020,CS-Computer Science & Engineering,KKR,1,1,1,94314,94314,94314.0,0,SingleRound
E020,CV-Civil Engineering,GM,1,1,1,77857,77857,77857.0,0,SingleRound
E020,EC-Electronics & Comm-unication Engineering,GM,1,1,1,48971,48971,48971.0,0,SingleRound
E020,EC-Electronics & Communication Engineering,GM,3,3,1,60623,60623,60623.0,0,SingleRound
E020,ME-Mechanical Engineering,GM,1,1,1,72291,72291,72291.0,0,SingleRound
E020,RI-Robotics & Artificial Intelligence,GM,1,3,2,59571,63780,61676.0,4209,Deteriorated
E021,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,64634,100899,87773.0,36265,Deteriorated
E021,AI-Artificial Intelligence & Machine Learning,KKR,1,1,1,87258,87258,87258.0,0,SingleRound
E021,BT-Bio-technology,GM,1,1,1,62249,62249,62249.0,0,SingleRound
E021,CD-Computer Science & Engineering (Data Science),GM,1,3,2,54175,81541,67858.0,27366,Deteriorated
E021,CD-Computer Science & Engineering (Data Science),KKR,1,1,1,55865,55865,55865.0,0,SingleRound
E021,CH-Chemical Engineering,GM,1,1,1,81621,81621,81621.0,0,SingleRound
E021,CS-Computer Science & Engineering,GM,1,4,3,44576,76181,60599.0,31605,Deteriorated
E021,CS-Computer Science & Engineering,KKR,1,2,2,86065,93768,89916.0,7703,Deteriorated
E021,EC-Electronics & Comm-unication Engineering,GM,1,1,1,73276,73276,73276.0,0,SingleRound
E021,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,83784,83784,83784.0,0,SingleRound
E021,EC-Electronics & Communication Engineering,GM,3,3,1,96226,96226,96226.0,0,SingleRound
E021,EE-Electrical & Electronics Engineering,GM,1,3,2,60325,101492,80908.0,41167,Improved
E021,IS-Information Science & Engineering,GM,1,4,3,71471,101492,91485.0,30021,Deteriorated
E021,IS-Information Science & Engineering,KKR,1,2,2,74407,94289,84348.0,19882,Improved
E021,TX-Textile Technology,GM,1,1,1,41014,41014,41014.0,0,SingleRound
E023,AD-Artificial Intelligence & Data Science,GM,1,1,1,67253,67253,67253.0,0,SingleRound
E023,CS-Computer Science & Engineering,GM,1,1,1,76952,76952,76952.0,0,SingleRound
E023,EC-Electronics & Comm-unication Engineering,GM,1,1,1,99733,99733,99733.0,0,SingleRound
E024,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,48966,96627,79448.0,47661,Deteriorated
E024,AI-Artificial Intelligence & Machine Learning,KKR,1,1,1,69367,69367,69367.0,0,SingleRound
E024,BT-Bio-technology,GM,1,1,1,67629,67629,67629.0,0,SingleRound
E024,CS-Computer Science & Engineering,GM,1,4,3,39970,97717,71534.0,57747,Deteriorated
E024,CS-Computer Science & Engineering,KKR,1,2,2,71897,91015,81456.0,19118,Deteriorated
E024,CV-Civil Engineering,GM,1,3,2,75052,100692,87872.0,25640,Improved
E024,EC-Electronics & Comm-unication Engineering,GM,1,1,1,50178,50178,50178.0,0,SingleRound
E024,EC-Electronics & Communication Engineering,GM,3,3,1,89042,89042,89042.0,0,SingleRound
E024,IS-Information Science & Engineering,GM,1,4,3,66869,97717,83675.0,30848,Deteriorated
E024,IS-Information Science & Engineering,KKR,1,1,1,91015,91015,91015.0,0,SingleRound
E024,UE-Electronics & Computer Engineering,GM,1,1,1,80554,80554,80554.0,0,SingleRound
E026,CD-Computer Science & Engineering (Data Science),GM,1,1,1,101035,101035,101035.0,0,SingleRound
E026,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),GM,1,3,2,68311,101035,84673.0,32724,Deteriorated
E026,CS-Computer Science & Engineering,GM,1,3,2,93560,96523,95042.0,2963,Improved
E026,EC-Electronics & Comm-unication Engineering,GM,1,1,1,95833,95833,95833.0,0,SingleRound
E026,EE-Electrical & Electronics Engineering,GM,1,1,1,64243,64243,64243.0,0,SingleRound
E026,IS-Information Science & Engineering,GM,1,1,1,99141,99141,99141.0,0,SingleRound
E027,AD-Artificial Intelligence & Data Science,GM,1,4,3,1539,4294,2858.0,2755,Deteriorated
E027,AD-Artificial Intelligence & Data Science,KKR,1,2,2,8003,12412,10208.0,4409,Deteriorated
E027,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,1981,4971,3330.0,2990,Deteriorated
E027,AI-Artificial Intelligence & Machine Learning,KKR,1,2,2,7942,10322,9132.0,2380,Deteriorated
E027,AS-Aerospace Engineering,GM,1,4,3,4450,16466,10426.0,12016,Deteriorated
E027,AS-Aerospace Engineering,KKR,1,2,2,36946,36946,36946.0,0,NoChange
E027,BT- Biotechnology,GM,3,3,1,24741,24741,24741.0,0,SingleRound
E027,BT- Biotechnology,KKR,2,2,1,85778,85778,85778.0,0,SingleRound
E027,BT-Bio- technology,GM,4,4,1,41118,41118,41118.0,0,SingleRound
E027,BT-Bio-technology,GM,1,1,1,13565,13565,13565.0,0,SingleRound
E027,BT-Bio-technology,KKR,1,1,1,56169,56169,56169.0,0,SingleRound
E027,CB-Computer Science & Business Systems,GM,1,4,3,1721,4444,2970.0,2723,Deteriorated
E027,CB-Computer Science & Business Systems,KKR,1,2,2,10199,13973,12086.0,3774,Deteriorated
E027,CD-Computer Science & Engineering (Data Science),GM,1,4,3,1419,3733,2529.0,2314,Deteriorated
E027,CD-Computer Science & Engineering (Data Science),KKR,1,2,2,6087,7825,6956.0,1738,Deteriorated
E027,CH-Chemical Engineering,GM,1,4,3,13046,70805,35223.0,57759,Deteriorated
E027,CH-Chemical Engineering,KKR,1,2,2,56344,86120,71232.0,29776,Deteriorated
E027,CS-Computer Science & Engineering,GM,1,4,3,1365,3716,2482.0,2351,Deteriorated
E027,CS-Computer Science & Engineering,KKR,1,2,2,5657,6652,6154.0,995,Deteriorated
E027,CV-Civil Engineering,GM,1,4,3,16264,61017,35196.0,44753,Deteriorated
E027,CV-Civil Engineering,KKR,1,2,2,62399,77487,69943.0,15088,Deteriorated
E027,EC-Electronics & Comm- unication Engineering,GM,4,4,1,6867,6867,6867.0,0,SingleRound
E027,EC-Electronics & Comm-unication Engineering,GM,1,1,1,2407,2407,2407.0,0,SingleRound
E027,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,10689,10689,10689.0,0,SingleRound
E027,EC-Electronics & Communication Engineering,GM,3,3,1,3826,3826,3826.0,0,SingleRound
E027,EC-Electronics & Communication Engineering,KKR,2,2,1,16231,16231,16231.0,0,SingleRound
